,literature,substrate,kmValue,kmValueMaximum,commentary,organism,ecNumber,ligandStructureId
252,[652422],sinapate,0.005,,4CL1,Glycine max,6.2.1.12,5215
253,[651117],sinapate,0.011,,,Glycine max,6.2.1.12,5215
254,[728512],sinapate,0.0589,,"pH 7.5, temperature not specified in the publication, recombinant isozyme Os4Cl5",Oryza sativa,6.2.1.12,5215
255,[608],2-coumarate,0.09,,isoenzyme 2,Glycine max,6.2.1.12,15490
256,[608],2-coumarate,0.18,,isoenzyme 1,Glycine max,6.2.1.12,15490
257,[652422],"3,4-dimethoxycinnamate",0.049,,4CL1,Glycine max,6.2.1.12,15519
258,[651117],"3,4-dimethoxycinnamate",0.083,,,Glycine max,6.2.1.12,15519
259,[611],"3,4-dimethoxycinnamate",0.55,,,Petroselinum crispum,6.2.1.12,15519
260,[611],isoferulate,0.026,,,Petroselinum crispum,6.2.1.12,15798
261,[608],isoferulate,0.1,,"3,4-dimethoxycinnamate, , isoenzyme 1",Glycine max,6.2.1.12,15798
262,[608],isoferulate,0.15,,isoenzyme 2,Glycine max,6.2.1.12,15798
263,[608],5-hydroxyferulate,0.012,,isoenzyme 1,Glycine max,6.2.1.12,20041
264,[608],5-hydroxyferulate,0.12,,isoenzyme 2,Glycine max,6.2.1.12,20041
265,[611],5-hydroxyferulate,0.34,,,Petroselinum crispum,6.2.1.12,20041
266,[616],sinapoate,0.001,,,Erythrina crista-galli,6.2.1.12,20515
267,[608],sinapoate,0.011,,isoenzyme 1,Glycine max,6.2.1.12,20515
268,[615],sinapoate,0.022,,isoenzyme I,Populus x canadensis,6.2.1.12,20515
269,[608],"3,4,5-trimethoxycinnamate",0.23,,isoenzyme 1,Glycine max,6.2.1.12,29438
270,[608],4-methoxycinnamate,0.38,,isoenzyme 1,Glycine max,6.2.1.12,29555
271,[611],3-coumarate,0.028,,,Petroselinum crispum,6.2.1.12,30578
272,[608],3-coumarate,0.03,,isoenzyme 2,Glycine max,6.2.1.12,30578
273,[609],m-methoxycinnamate,0.336,,,Solanum tuberosum,6.2.1.12,45648
274,[609],p-methoxycinnamate,0.69,,,Solanum tuberosum,6.2.1.12,45801
275,[611],4-methoxyferulate,0.5,,,Petroselinum crispum,6.2.1.12,46151
276,[746513],sinapinate,1.32,,"wild type enzyme, at pH 7.5 and 25&deg;C",Nicotiana tabacum,6.2.1.12,224785
277,[746000],dihydro-4-coumarate,0.253,,"mutant enzyme M247Y, at pH 7.5 and 30&deg;C",Plagiochasma appendiculatum,6.2.1.12,224786
278,[746000],dihydro-4-coumarate,0.4418,,"wild type enzyme, at pH 7.5 and 30&deg;C",Plagiochasma appendiculatum,6.2.1.12,224786
279,[652146],more,-999,,Km values for all mutant enzymes given,Arabidopsis thaliana,6.2.1.12,0
280,[676305],more,-999,,kinetics in presence of inhibitors,Nicotiana tabacum,6.2.1.12,0
281,[727669],more,-999,,"kinetic analysis of the recombinant engineered isozyme At4CL1-VvSTS fusion enzyme, overview",Arabidopsis thaliana,6.2.1.12,0
282,[728204],more,-999,,steady-state Michaelis&ndash;Menten kinetics; steady-state Michaelis&ndash;Menten kinetics; steady-state Michaelis&ndash;Menten kinetics,Sorbus aucuparia,6.2.1.12,0
283,[728481],more,-999,,"catalytic reaction scheme and kinetics, overview",Solanum lycopersicum,6.2.1.12,0
