,EcNumber,Enzyme_Synonyms
1692,1.2.1.84,"['1.2.1.84', 'alcohol-forming fatty acyl-CoA reductase', 'CER4', 'CG1443', 'FAR', 'FAR1', 'FAR2', 'FAR3', 'FAR4', 'FAR5', 'fatty acyl-CoA reductase', 'fatty acyl-CoA reductase 1', 'fatty acyl-CoA reductase 3', 'fatty acyl-CoA:NADPH oxidoreductase (long chain alcohol forming)', 'fatty acyl-Coenzyme A reductase', 'intestinal acyl-CoA reductase', 'long-chain acyl-CoA:NADPH reductase', 'male sterility C-terminal domain', 'male sterility domain-containing protein 1', 'Maqu_2220', 'Maqu_2507', 'peroxisomal fatty acyl-CoA reductase 1', 'PsFAR I', 'PsFAR II', 'wat', 'Waterproof']"
1693,1.2.1.85,"['1.2.1.85', '2-hydroxymuconate semialdehyde dehydrogenase', '2-hydroxymuconate-6-semialdehyde dehydrogenase', '2-hydroxymuconate-6-semialdehyde:NAD+ oxidoreductase', '2-hydroxymuconic semialdehyde dehydrogenase', '5C-2HMS dehydrogenase', 'HMS dehydrogenase', 'NAD+-dependent 2-hydroxy-muconic 6-semialdehyde dehydrogenase', 'NahI', 'praB', 'XylG']"
1694,1.2.1.86,"['1.2.1.86', 'GADH', 'geoB', 'geranial dehydrogenase', 'geranial:NAD+ oxidoreductase', 'NAD+-dependent citral dehydrogenase']"
1695,1.2.1.87,"['1.2.1.87', 'BphJ', 'CoA-acylating aldehyde dehydrogenase', 'coenzyme A-acylating aldehyde dehydrogenase', 'More', 'PduP', 'propanal dehydrogenase (CoA-propanoylating)', 'propanal:NAD+ oxidoreductase (CoA-propanoylating)', 'TTHB247']"
1696,1.2.1.88,"['1-pyrroline dehydrogenase', '1.2.1.88', 'Aldh4a1', 'dehydrogenase, 1-pyrroline-5-carboxylate', 'DELTA1-pyrroline-5-carboxylate dehydrogenase', 'delta1-pyrroline-5-carboxylate synthetase', 'DR_0813', 'L-glutamate gamma-semialdehyde dehydrogenase', 'L-glutamate gamma-semialdehyde:NAD+ oxidoreductase', 'L-pyrroline-5-carboxylate-NAD+ oxidoreductase', 'LRRP Ba1-651', 'OsALDH12', 'OsALDH18-2', 'P5C dehydrogenase', 'P5C synthase', 'P5C-DH', 'P5CD', 'P5CDH', 'P5CDH1', 'P5CS', 'PDH', 'proline/P5C dehydrogenase', 'Put2', 'PutA', 'pyrroline-5-carboxylate dehydrogenase', 'pyrroline-5-carboxylate synthase', 'pyrroline-5-carboxylic acid dehydrogenase', 'Tc00.1047053510943.50']"
1697,1.2.1.89,"['1.2.1.89', 'AldA', 'ALDH', 'D-glyceraldehyde dehydrogenase (NADP+)', 'D-glyceraldehyde:NADP+ oxidoreductase', 'GADH', 'GLD', 'glyceraldehyde dehydrogenase', 'Pto0332', 'Ta0809', 'TaAlDH']"
1698,1.2.1.9,"['1.2.1.9', 'apo-GAPDH', 'apo-glyceraldehyde-3-phosphate dehydrogenase', 'D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase', 'dehydrogenase, glyceraldehyde phosphate (nicotinamide adenine dinucleotide phosphate)', 'E268A-GAPN', 'GAP dehydrogenase', 'GAPDH', 'GAPDH (A4)', 'GAPDHN', 'GAPN', 'glyceraldehyde 3-phosphate dehydrogenase', 'glyceraldehyde 3-phosphate dehydrogenase (NADP)', 'glyceraldehyde 3-phosphate:NADP+ reductase, non-phosphorylating', 'glyceraldehyde phosphate dehydrogenase (NADP)', 'glyceraldehyde-3-phosphate dehydrogenase', 'glyceraldehyde-3-phosphate dehydrogenase (NADP+)', 'Glyceraldehyde-3-phosphate dehydrogenase [NADP+]', 'glyceraldehyde-3-phosphate:NADP reductase', 'NADP+-dependent GAPDH', 'NADP+-dependent glyceraldehyde 3-phosphate dehydrogenase', 'NADP+-GAPDH', 'NADP-dependent glyceraldehyde-3-phosphate dehydrogenase', 'NADP-dependent nonphosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'NADP-glyceraldehyde phosphate dehydrogenase', 'NADP-glyceraldehyde-3-phosphate dehydrogenase', 'NADPH-dependent GAPDH', 'NADPH-glyceraldehyde-3-phosphate dehydrogenase', 'non phosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'non-phosphorylating GAP dehydrogenase', 'Non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase', 'non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase GAPN', 'non-phosphorylating NADP+-dependent Ga3PDHase', 'non-phosphorylating NADP+-dependent glyceraldehyde-3-phosphate dehydrogenase', 'non-phosphorylating NADP-dependent glyceraldehyde-3-phosphate dehydrogenase', 'nonphosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'nonphosphorylating NADP-dependent glyceraldehyde-3-phosphate dehydrogenase', 'NP-Ga3PDHase', 'NP-GAPDH', 'OsALDH11', 'SSO3194', 'St-GAPN', 'STK_24770', 'triose phosphate dehydrogenase', 'Triosephosphate dehydrogenase']"
1699,1.2.1.90,"['1.2.1.90', 'D-glyceraldehyde-3-phosphate:NAD(P)+ oxidoreductase', 'GAPN', 'glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+]', 'NAD+-dependent glyceraldehyde-3-phosphate dehydrogenase', 'NAD+-dependent non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase', 'nonphosphorylating NAD+-dependent GAPN']"
1700,1.2.1.91,"['1.2.1.91', '3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase', '3-oxo-5,6-dehydrosuberyl-CoA semialdehyde:NADP+ oxidoreductase', 'oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)', 'paaZ', 'PaaZ-ALDH', 'PacL']"
1701,1.2.1.92,"['1.2.1.92', '3,6-anhydro-alpha-L-galactopyranose:NAD(P)+ 1-oxidoredutase', '3,6-anhydro-alpha-L-galactose dehydrogenase', 'AHG dehydrogenase', 'VejAHGD']"
1702,1.2.1.93,"['1.2.1.93', 'formate dehydrogenase (NAD+, ferredoxin)']"
1703,1.2.1.94,"['1.2.1.94', 'AaALDH3', 'AaALDH3-1', 'AaALDH3-2', 'AaeL_AAEL012161', 'AaeL_AAEL012162', 'AaeL_AAEL012165', 'aldehyde dehydrogenase 3', 'ALDH3', 'farnesal dehydrogenase', 'farnesal dehydrogenase, NAD+', 'farnesal:NAD+ oxidoreductase', 'NAD+-dependent class 3 ALDH']"
1704,1.2.1.95,"['(S)-2-amino-6-oxohexanoate:NADP+ oxidoreductase (ATP-forming)', '1.2.1.95', 'AAR', 'alpha-AAR', 'alpha-aminoadipate reductase', 'L-2-aminoadipate reductase', 'L-alpha-aminoadipic acid reductase', 'Lys1+', 'LYS2', 'Nps3']"
1705,1.2.1.96,"['1.2.1.96', '4-hydroxybenzaldehyde dehydrogenase (NADP+)', '4-hydroxybenzaldehyde:NADP+ oxidoreductase', 'p-hydroxybenzaldehyde dehydrogenase', 'PchA', 'PHBDD', 'PHBZ']"
1706,1.2.1.97,"['(2S)-3-sulfolactaldehyde:NAD(P)+ oxidoreductase', '1.2.1.97', '3-sulfolactaldehyde dehydrogenase', 'SLA dehydrogenase']"
1707,1.2.1.98,"['1.2.1.98', '2-hydroxy-2-methylpropanal dehydrogenase', '2-hydroxy-2-methylpropanal:NAD+ oxidoreductase', 'hydroxyisobutyraldehyde dehydrogenase', 'mpdC']"
1708,1.2.1.99,"['1.2.1.99', '4-(gamma-glutamylamino)butanal dehydrogenase', '4-(gamma-L-glutamylamino)butanal:NAD(P)+ oxidoreductase', 'ALDH', 'gamma-Glu-gamma-aminobutyraldehyde dehydrogenase', 'gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [NAD(P)+]', 'NAD+-dependent gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase', 'PuuC']"
1709,1.2.1.B23,"['1.2.1.B23', ""4,4'-diaponeurosporen-aldehyde dehydrogenase"", 'ALDH', 'NWMN_2026']"
1710,1.2.1.B25,"['1.2.1.B25', 'Acr', 'aldehyde-forming fatty acyl-CoA reductase', 'cACR', 'cyanobacterial acyl-CoA reductase', 'FAR1', 'FAR4', 'FAR5', 'FAR6', 'long-chain ACR', 'long-chain-aldehyde:NADP+ oxidoreductase', 'long-chain-fatty-acyl-CoA reductase']"
1711,1.2.1.B29,"['1.2.1.B29', 'electron-bifurcating [FeFe]-hydrogenase', 'formate dehydrogenase (NADP+, ferredoxin)', 'formate:NADP+, ferredoxin oxidoreductase']"
1712,1.2.1.B8,"['1.2.1.B8', ""5'-hydroxyaverantin dehydrogenase (NADP+)"", ""5'-hydroxyaverantin:NADP+ oxidoreductase"", 'Lac-HAVN dehydrogenase']"
1713,1.2.2.1,"['1.2.2.1', 'dehydrogenase, formate (cytochrome)', 'FDH', 'FdnG', 'FdoG', 'formate dehydrogenase', 'formate dehydrogenase (cytochrome)', 'formate dehydrogenase-N', 'formate dehydrogenase-O', 'formate:cytochrome b1 oxidoreductase', 'formate:ferricytochrome-b1 oxidoreductase', 'formate:phenazine methosulfate oxidoreductase', 'respiratory formate dehydrogenase']"
1714,1.2.2.2,"['1.2.2.2', 'pyruvate dehydrogenase (cytochrome)']"
1715,1.2.2.3,"['1.2.2.3', 'formate dehydrogenase (cytochrome-c-553)']"
1716,1.2.2.4,"['1.2.2.4', 'Carbon dioxide/carbon monoxide oxidoreductase', 'Carbon monoxide dehydrogenase', 'Carbon monoxide oxidoreductase', 'carbon monoxide, water:cytochrome b-561 oxidoreductase', 'carbon monoxide,water:cytochrome b-561 oxidoreductase', 'carbon-monoxide dehydrogenase (cytochrome b-561)', 'carbon-monoxide oxygenase (cytochrome b-561)', 'chromaffin granule cytochrome b-561', 'CO dehydrogenase', 'Dehydrogenase, carbon monoxide', 'duodenal cytochrome b-561', 'lysosomal cytochrome b-561']"
1717,1.2.2.B1,"['1.2.2.B1', 'DL-FalDH', 'formaldehyde-cytochrome b559/569 oxidoreductase', 'formaldehyde:ferricytochrome b559/569 oxidoreductase', 'quinoprotein formaldehyde dehydrogenase (cytochrome b559/569)']"
1718,1.2.2.B2,"['1.2.2.B2', 'formaldehyde:ferricytochrome cL oxidoreductase', 'quinoprotein formaldehyde dehydrogenase (cytochrome cL)']"
1719,1.2.3.1,"['1.2.3.1', 'Aao4', 'AHO2', 'aldehyde oxidase', 'aldehyde oxidase 1', 'aldehyde oxidase 2', 'aldehyde oxidase 3', 'aldehyde oxidase 3-like 1', 'aldehyde oxidase 4', 'aldehyde-oxygen oxidoreductase', 'aldehyde:oxygen oxidoreductase', 'ALOD', 'AlOx', 'antennae-specific aldehyde oxidase', 'AO', 'AO-alpha', 'AO-beta', 'AO-delta', 'AO-gamma', 'AO-kappa', 'AO1', 'AO2', 'AO3', 'AO4', 'AOH', 'AOH1', 'AOH2', 'AOH3', 'AOR', 'AOX', 'AOX1', 'AOX2', 'AOX3', 'AOX4', 'AtraAOX2', 'FOD', 'formate oxidase', 'mAOX3', 'mouse liver aldehyde oxidase 3', 'quinoline oxidase', 'Retinal oxidase', 'retinene oxidase']"
1720,1.2.3.10,"['1.2.3.10', 'carbon-monoxide oxidase']"
1721,1.2.3.11,"['1.2.3.11', 'retinal oxidase']"
1722,1.2.3.12,"['1.2.3.12', 'vanillate demethylase']"
1723,1.2.3.13,"['1.2.3.13', '4-hydroxyphenylpyruvate oxidase', '4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)']"
1724,1.2.3.14,"['1.2.3.14', 'AAO', 'AAO1', 'AAO2', 'AAO3', 'ABA aldehyde oxidase', 'ABA-specific aldehyde oxidase', 'abscisic aldehyde oxidase', 'abscisic aldehyde oxidase 3', 'abscisic-aldehyde oxidase', 'abscisic-aldehyde:oxygen oxidoreductase', 'AO-3', 'AO3', 'AOd', 'AOdelta', 'Arabidopsis aldehyde oxidase 3', 'EC 1.2.3.1']"
1725,1.2.3.15,"['(methyl)glyoxal oxidase', '(methyl)glyoxal:oxygen oxidoreductase', '1.2.3.15', 'GLOX', 'GLX', 'Glx1', 'GLX2', 'methylglyoxal oxidase']"
1726,1.2.3.2,"['1.2.3.2', 'xanthine oxidase']"
1727,1.2.3.3,"['1.2.3.3', 'acetyl phosphate-producing pyruvate oxidase', 'phosphate-dependent pyruvate oxidase', 'POX', 'POX-2', 'poxB', 'PoxF', 'PyOD', 'PyrOx', 'pyruvate oxidase', 'pyruvate:oxygen 2-oxidoreductase (phosphorylating)', 'pyruvate:oxygen-2-oxidoreductase (phosphorylating)', 'pyruvic oxidase', 'SpxB', 'SpxB protein']"
1728,1.2.3.4,"['1.2.3.4', 'aero-oxalo dehydrogenase', 'Germin', 'Germin GF-2.8', 'Germin GF-3.8', 'germin-like oxidase', 'gl-OXO', 'GLP2', 'HvOxo1', 'oxalate oxidase', 'oxalate: O2 oxidoreductase', 'oxalate:oxygen oxidoreductase', 'oxalic acid oxidase', 'OXO', 'OXO-G', 'OXO1', 'OXO2', 'OXO3', 'OXO4', 'OxOx', 'TaOxo1', 'TaOxo2']"
1729,1.2.3.5,"['1.2.3.5', 'glyoxylate oxidase', 'glyoxylate:oxygen oxidoreductase']"
1730,1.2.3.6,"['1.2.3.6', 'pyruvate oxidase', 'pyruvate oxidase (CoA-acetylating)', 'pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)', 'SpxB']"
1731,1.2.3.7,"['(indol-3-yl)acetaldehyde:oxygen oxidoreductase', '1.2.3.7', 'AAO1', 'AOgamma', 'IAAld oxidase', 'indole-3-acetaldehyde oxidase', 'indoleacetaldehyde oxidase', 'oxidase, indoleacetaldehyde']"
1732,1.2.3.8,"['1.2.3.8', 'AOX1', 'PO', 'pyridoxal oxidase', 'pyridoxal:oxygen 4-oxidoreductase']"
1733,1.2.3.9,"['1.2.3.9', 'aryl-aldehyde oxidase', 'aryl-aldehyde:oxygen oxidoreductase']"
1734,1.2.4.1,"['1.2.4.1', 'aceE', 'dehydrogenase, pyruvate', 'E1 component of pyruvate dehydrogenase', 'E1 component of pyruvate dehydrogenase complex', 'E1 component of pyruvate dehydrogenase multienzyme complex', 'E1 component of the pyruvate dehydrogenase multienzyme complex', 'E1alpha', 'E1ec', 'E1p', 'MdeB', 'mitochondrial pyruvate dehydrogenase', 'More', 'MtPDC', 'Pda1p', 'PDC', 'PDCp', 'PDH', 'PDH complex', 'PDH E1alpha', 'PDH subunit E1-beta', 'PDH-E1 catalytic subunit', 'PDHa', 'PDHA1a', 'PDHalpha', 'PdhB', 'PDHC', 'PDHc E1', 'PDHc-E1', 'PDHE1alpha', 'PDHE1alpha1', 'plastidial pyruvate dehydrogenase complex', 'pyruvate decarboxylase', 'pyruvate dehydrogenase', 'pyruvate dehydrogenase (acetyl-transferring)', 'pyruvate dehydrogenase alpha subunit', 'pyruvate dehydrogenase complex', 'pyruvate dehydrogenase complex E1 component', 'pyruvate dehydrogenase complex,', 'pyruvate dehydrogenase E1', 'pyruvate dehydrogenase E1 alpha subunit', 'pyruvate dehydrogenase E1 component', 'pyruvate dehydrogenase E1 component subunit beta', 'pyruvate dehydrogenase multienzyme complex', 'pyruvate dehydrogenase multienzyme complex E1', 'pyruvate dehydrogenase, E1', 'pyruvate:NAD oxidoreductase', 'pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)', 'pyruvic acid dehydrogenase', 'pyruvic dehydrogenase', 'thiamin diphosphate-dependent pyruvate dehydrogenase', 'thiamin-dependent pyruvate dehydrogenase', 'thiamine diphosphate-dependent 2-oxo acid decarboxylase', 'VEG220', 'Vegetative protein 220']"
1735,1.2.4.2,"['1.2.4.2', '2-ketoglutarate dehydrogenase', '2-OGDH', '2-oxoglutarate decarboxylase', '2-oxoglutarate dehydrogenase', '2-oxoglutarate dehydrogenase complex', '2-oxoglutarate dehydrogenase complex E1 component', '2-oxoglutarate dehydrogenase-like protein', '2-oxoglutarate:lipoate oxidoreductase', '2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating)', '2OGDH', 'AKGDH', 'alpha-KDE2', 'alpha-ketoglutarate dehydrogenase', 'alpha-ketoglutarate dehydrogenase complex', 'alpha-ketoglutarate dehydrogenase multienzyme complex', 'alpha-ketoglutaric acid dehydrogenase', 'alpha-ketoglutaric dehydrogenase', 'alpha-KGD', 'alpha-KGDH', 'alpha-KGDHC', 'alpha-oxoglutarate dehydrogenase', 'dehydrogenase, oxoglutarate', 'DHTKD1', 'dihydrolipoyl succinyltransferase E2', 'E1 component of the 2-oxoglutarate dehydrogenase multienzyme complex', 'E1 subunit of the alpha-ketoglutarate dehydrogenase complex', 'E1k', 'E1o', 'E1o component', 'E1o component 2-oxoglutarate dehydrogenase complex', 'E2', 'KDH', 'ketoglutaric dehydrogenase', 'KG dehydrogenase', 'KGDH', 'KGDHC', 'More', 'ODH', 'OdhA', 'OGDC', 'OGDH', 'OGDHC', 'OGDHL', 'OGHDC-E2', 'oxoglutarate decarboxylase', 'oxoglutarate dehydrogenase', 'oxoglutarate dehydrogenase (succinyl-transferring)', 'PDHC']"
1736,1.2.4.3,"['1.2.4.3', '2-oxoisocaproate dehydrogenase']"
1737,1.2.4.4,"['1.2.4.4', '2-oxoisocaproate dehydrogenase', '2-oxoisovalerate dehydrogenase', '2-oxoisovalerate dehydrogenase (lipoate)', '3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)', '3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)', 'alpha-keto-beta-methylvalerate dehydrogenase', 'alpha-ketoacid dehydrogenase', 'alpha-ketoisocaproate dehydrogenase', 'alpha-ketoisocaproic dehydrogenase', 'alpha-ketoisocaproic-alpha-keto-beta-methylvaleric dehydrogenase', 'alpha-ketoisovalerate dehydrogenase', 'alpha-oxoisocaproate dehydrogenase', 'BCDH', 'BCKA dehydrogenase', 'BCKADC', 'BCKD', 'BCKDC', 'BCKDH', 'BCKDH E1-alpha', 'BCKDH E1-beta', 'BCKDHB', 'BCKDHc', 'BCOA', 'BCOAD', 'Bkd', 'bkdF', 'branched chain alpha-ketoacid dehydrogenase complex', 'branched chain keto acid dehydrogenase', 'branched-chain (-2-oxoacid BCD) dehydrogenase', 'branched-chain 2-keto acid dehydrogenase', 'branched-chain 2-oxo acid dehydrogenase', 'branched-chain alpha-keto acid decarboxylase/dehydrogenase', 'branched-chain alpha-keto acid dehydrogenase', 'branched-chain alpha-keto acid dehydrogenase complex', 'branched-chain alpha-keto acid dehydrogenase E1beta subunit', 'branched-chain alpha-ketoacid dehydrogenase', 'branched-chain alpha-ketoacid dehydrogenase complex', 'branched-chain alpha-ketoacid dehydrogenase enzyme complex', 'branched-chain alpha-ketoacid dehydrogenase multienzyme complex', 'branched-chain alpha-oxo acid dehydrogenase', 'branched-chain keto acid dehydrogenase', 'branched-chain keto acid dehydrogenase complex', 'branched-chain ketoacid dehydrogenase', 'branched-chain ketoacid dehydrogenase E1', 'dehydrogenase, 2-oxoisocaproate', 'dehydrogenase, 2-oxoisovalerate (lipoate)', 'dehydrogenase, branched chain alpha-keto acid', 'DHalpha', 'dihydrolipoyl acyl-transferase', 'dihydrolipoyl transacylase', 'E1b', 'E1b component', 'E1b component of the 2-oxo acid dehydrogenase complex', 'E2', 'EC 1.2.4.3', 'More']"
1738,1.2.5.1,"['1.2.5.1', 'EC 1.2.2.2', 'ECPOX', 'POX', 'poxB', 'POXEC', 'pqo', 'pyruvate (quinone) dehydrogenase', 'pyruvate dehydrogenase (quinone)', 'pyruvate oxidase', 'pyruvate oxidase B', 'pyruvate:quinone oxidoreductase', 'pyruvate:ubiquinone oxidoreductase', 'pyruvate:ubiquinone-8-oxidoreductase', 'ubiquinione-dependent pyruvate oxidase', 'ubiquinone-dependent pyruvate oxidase']"
1739,1.2.5.2,"['1.2.5.2', 'ADH I', 'ADH IIB', 'ADH IIG', 'aldehyde dehydrogenase (acceptor)', 'aldehyde dehydrogenase (quinone)', 'aldehyde:quinone oxidoreductase', 'ALDH', 'BOH', 'dehydrogenase, aldehyde (acceptor)', 'FOE', 'formaldehyde-oxidizing enzyme', 'glucose sorbosone dehydrogenase', 'NAD+-independent, PQQ-containing alcohol dehydrogenase', 'PQQ-AldDH', 'PQQ-AlDH', 'pyrroloquinoline quinone-dependent aldehyde dehydrogenase', 'quinohemoprotein dehydrogenase', 'Swit_4395', 'tetrahydrofurfuryl alcohol dehydrogenase']"
1740,1.2.5.3,"['1.2.5.3', 'aerobic carbon monoxide dehydrogenase', 'aerobic Mo/Cu-containing CO dehydrogenase', 'Carbon monoxide dehydrogenase', 'carbon-monoxide:quinone oxidoreductase', 'CO dehydrogenase', 'CODH', 'coxSML', 'Mo-CODH', 'Mo-Cu carbon monoxide dehydrogenase', 'Mo/Cu CODH', 'MoCu-CODH', 'molybdenum- and copper-containing carbon monoxide dehydrogenase', 'molybdenum- and copper-dependent CO dehydrogenase', 'molybdenum-containing carbon monoxide dehydrogenase', 'molybdenum-containing CO dehydrogenase', 'molybdenum-copper carbon monoxide dehydrogenase', 'molybdenum-copper CO dehydrogenase', 'molybdenum/copper-containing carbon monoxide dehydrogenase', 'molybdoenzyme carbon monoxide dehydrogenase']"
1741,1.2.7.1,"['1.2.7.1', 'AP120', 'Ape2126/2128', 'bifunctional pyruvate decarboxylase/pyruvate ferredoxin oxidoreductase', 'OFOR', 'PFO', 'PFO A', 'PFOR', 'PforA', 'PFR', 'PFR1', 'POR', 'PorEDABG', 'pyruvate ferredoxin oxidoreductase', 'pyruvate synthase', 'pyruvate-ferredoxin oxidoreductase', 'pyruvate:Fd oxidoreductase', 'pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)', 'pyruvate:ferredoxin oxidoreductase', 'pyruvate:ferredoxin oxidoreductase A', 'Tsac_0046', 'TTE0445']"
1742,1.2.7.10,"['1.2.7.10', 'OOR', 'oxalate oxidoreductase', 'oxalate:ferredoxin oxidoreductase']"
1743,1.2.7.11,"['1.2.7.11', '2-ketoacid:ferredoxin oxidoreductase', '2-oxoacid oxidoreductase (ferredoxin)', '2-oxoacid: ferredoxin oxidoreductase', '2-oxoacid:ferredoxin oxidoreductase', '2-oxoacid:ferredoxin oxidoreductases', '2-oxocarboxylate:ferredoxin 2-oxidoreductase (decarboxylating, CoA-acylating)', 'Ape1473/1472', 'KOR', 'OFOR', 'OFOR1', 'OFOR2', 'StOFOR', 'StOFOR1', 'StOFOR2']"
1744,1.2.7.12,"['1.2.7.12', 'CHO-methanofuran dehydrogenase', 'CHO-MFR dehydrogenase', 'Dehydrogenase, formylmethanofuran', 'Fmd', 'FmdE', 'formyl-methanofuran dehydrogenase', 'formyl-MFR dehydrogenase', 'formylmethanofuran dehydrogenase', 'formylmethanofuran:ferredoxin oxidoreductase', 'Fwd', 'FWD1', 'FWD2', 'FwdA-DFGH/FwdAFmdBCE', 'molybdenum-type formylmethanofuran dehydrogenase', 'PF02663', 'tungsten-dependent formylmethanofuran dehydrogenase', 'tungsten-type formylmethanofuran dehydrogenase']"
1745,1.2.7.2,"['1.2.7.2', '2-oxobutyrate synthase']"
1746,1.2.7.3,"['1.2.7.3', '2-ketoglutarate ferredoxin oxidoreductase', '2-oxoglutarate ferredoxin oxidoreductase', '2-oxoglutarate oxidoreductase', '2-oxoglutarate synthase', '2-oxoglutarate:ferredoxin 2-oxidoreductase (CoA-succinylating)', '2-oxoglutarate:ferredoxin oxidoreductase', '2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)', 'alpha-ketoglutarate oxidoreductase', 'alpha-ketoglutarate synthase', 'alpha-ketoglutarate-ferredoxin oxidoreductase', 'CoA-dependent 2-ketoglutarate oxidoreductase', 'FOR enzyme', 'For(OGOR)', 'forDABGE', 'KGOR', 'KOR enzyme', 'Kor(OGOR)', 'OGOR', 'OOR', 'oorDABC']"
1747,1.2.7.4,"['1.2.7.4', 'acetyl coenzyme A synthase/carbon monoxide dehydrogenase', 'acetyl-CoA synthase/carbon monoxide dehydrogenase', 'ACS/CODH', 'anaerobic carbon-monoxide dehydrogenase', 'Carbon dioxide/carbon monoxide oxidoreductase', 'Carbon monoxide dehydrogenase', 'carbon monoxide dehydrogenase-corrinoid enzyme complex', 'carbon monoxide dehydrogenase/acetyl-CoA synthase', 'Carbon monoxide oxidoreductase', 'carbon-monoxide,water:ferredoxin oxidoreductase', 'Cdh', 'CO dehydrogenase', 'CO dehydrogenase complex', 'CO dehydrogenase complex II', 'CO dehydrogenase II', 'CO dehydrogenase/acetyl-CoA synthase', 'Co-DG', 'CO-DH', 'CODH', 'CODH II', 'CODH-II', 'CODH/ACS', 'CODHACS', 'CODHase', 'CODHII', 'coos', 'Dehydrogenase, carbon monoxide', 'Ni,Fe-CODH', 'Ni,Fe-dependent carbon monoxide dehydrogenase', 'Ni-CODH', 'Ni-containing carbon monoxide dehydrogenase', 'Ni-Fe carbon monoxide dehydrogenase II']"
1748,1.2.7.5,"['1.2.7.5', 'aldehyde Fd oxidoreductase', 'aldehyde ferredoxin oxidoreductase', 'aldehyde oxidase (ferredoxin)', 'aldehyde oxidoreductase', 'aldehyde: ferredoxin oxidoreductase', 'aldehyde:ferredoxin oxidoreductase', 'AOR', 'Aor1', 'Aor2', 'Aor3', 'Aor4', 'FOR', 'formaldehyde ferredoxin oxidoreductase', 'More', 'oxidase, aldehyde (ferredoxin)', 'PF0346', 'phenylacetaldehyde:ferredoxin oxidoreductase', 'POR', 'tungsten-containing aldehyde ferredoxin oxidoreductases', 'tungsten-containing aldehyde:ferredoxin oxidoreductase']"
1749,1.2.7.6,"['1.2.7.6', 'aldehyde ferredoxin oxidoreductase', 'D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase', 'dehydrogenase, glyceraldehyde phosphate (ferredoxin)', 'G3P:ferredoxin oxidoreductase', 'GAP:FdOR', 'GAPOR', 'glyceraldehyde 3-phosphate ferredoxin oxidoreductase', 'glyceraldehyde 3-phosphate oxidoreductase', 'glyceraldehyde phosphate dehydrogenase (ferredoxin)', 'glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)', 'glyceraldehyde-3-phosphate Fd oxidoreductase', 'glyceraldehyde-3-phosphate ferredoxin oxidoreductase', 'glyceraldehyde-3-phosphate ferredoxin reductase', 'glyceraldehyde-3-phosphate:Fd-OR', 'glyceraldehyde-3-phosphate:ferredoxin oxidoreductase', 'PAE1029', 'PF0464']"
1750,1.2.7.7,"['1.2.7.7', '2-ketoisovalerate ferredoxin oxidoreductase', '2-oxoisovalerate ferredoxin reductase', '2-oxoisovalerate oxidoreductase', '2-oxoisovalerate:ferredoxin oxidoreductase', '3-methyl-2-oxobutanoate dehydrogenase', '3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)', '3-methyl-2-oxobutanoate synthase (ferredoxin)', '3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating; CoA-2-methylpropanoylating)', 'branched-chain ketoacid ferredoxin reductase', 'branched-chain oxo acid ferredoxin reductase', 'keto-valine-ferredoxin oxidoreductase', 'ketoisovalerate ferredoxin reductase', 'VOR']"
